locid;denot;municipality;subarea_nr;apprentice;R_00_04m;R_00_04f;R_05_09m;R_05_09f;R_10_14m;R_10_14f;R_15_17m;R_15_17f;R_18_19m;R_18_19f;R_20_24m;R_20_24f;R_25_29m;R_25_29f;R_30_34m;R_30_34f;R_35_39m;R_35_39f;R_40_44m;R_40_44f;R_45_49m;R_45_49f;R_50_54m;R_50_54f;R_55_59m;R_55_59f;R_60_64m;R_60_64f;R_65_69m;R_65_69f;R_70_74m;R_70_74f;R_75_79m;R_75_79f;R_80_84m;R_80_84f;R_85_89m;R_85_89f;R_90_xxm;R_90_xxf;HH_A2_C1;HH_A2_C2;HH_A2_C3;HH_A2_C4;HH_A2_C5;HH_A2_C0;HH_A1_C1;HH_A1_C2;HH_A1_C3;HH_A1_C4;HH_A1_C5;HH_A1_C0;E_Sec01;E_Sec02;E_Sec03;E_Sec04;E_Sec05;E_Sec06;E_Sec07;E_Sec08;E_Sec09;E_Sec10;F_Sec01;F_Sec02;F_Sec03;F_Sec04;F_Sec05;F_Sec06;F_Sec07;F_Sec08;F_Sec09;F_Sec10;FS_Sec01;FS_Sec02;FS_Sec03;FS_Sec04;FS_Sec05;FS_Sec06;FS_Sec07;FS_Sec08;FS_Sec09;FS_Sec10;R_wse_m;R_wse_f;outComm_m;outComm_f;HH_pair;ED_18_xx_02;ED_18_xx_03;ED_18_xx_04;ED_18_xx_05
3274;Sennwald;3274;17;790;150;109;177;129;170;161;102;97;68;64;140;138;139;123;178;162;210;189;185;216;185;153;165;136;130;107;94;83;87;79;59;83;42;53;29;36;19;19;7;11;166;207;91;22;7;138;29;20;4;0;0;30;312;1561;232;464;87;8;83;85;0;217;106;72;37;32;12;2;30;19;0;17;2.9;21.7;6.3;14.5;7.3;4;2.8;4.5;10;12.8;1429;1009;677;600;463;0.257026;0.500204;0.050102;0.158045
3275;Sevelen;3275;17;676;147;117;155;121;153;157;93;106;62;70;155;127;171;134;163;165;185;172;170;175;171;157;156;155;129;98;84;89;66;59;39;61;27;55;17;40;15;23;3;11;186;188;84;18;9;120;34;16;6;2;1;26;149;1090;180;131;41;13;100;71;0;90;55;53;29;16;10;5;28;17;0;10;2.7;20.6;6.2;8.2;4.1;2.6;3.6;4.2;10;9;1340;963;761;663;429;0.241466;0.471134;0.057733;0.178255
3276;Wartau;3276;17;846;167;134;190;146;194;162;97;89;64;60;145;136;136;148;184;175;200;203;187;191;202;151;142;143;151;125;91;109;63;95;72;85;51;75;26;49;14;30;6;16;184;234;96;22;5;140;35;21;5;1;0;40;173;1143;130;106;140;29;83;90;0;147;55;44;37;26;29;5;33;23;0;18;3.1;26;3.5;4.1;4.8;5.8;2.5;3.9;10;8.2;1398;1026;754;676;477;0.226162;0.503546;0.069346;0.163515
3291;Bad Ragaz;3291;17;649;120;103;148;132;160;149;90;100;60;67;152;142;149;148;179;198;204;229;225;204;165;162;178;148;147;167;122;132;103;119;73;93;56;96;37;66;24;47;10;25;188;216;60;16;1;133;27;31;4;0;0;49;99;647;205;245;963;51;103;187;0;99;23;66;43;55;49;9;42;45;0;13;4.3;9.8;4.8;4.5;19.7;5.7;2.5;4.2;10;7.6;1520;1207;605;617;583;0.231048;0.495466;0.063475;0.177729
3292;Flums;3292;17;890;144;143;191;213;205;165;113;109;76;72;161;134;151;138;172;178;206;196;175;176;152;126;167;134;143;128;109;99;87;100;93;99;59;81;48;57;21;37;7;17;158;220;127;34;15;172;22;14;7;0;0;41;372;961;171;161;195;37;106;70;0;141;171;62;36;27;37;6;21;16;0;19;2.2;15.5;4.8;6;5.3;6.2;5;4.4;10;7.4;1387;961;492;459;399;0.322857;0.455102;0.04898;0.119592
3293;Mels;3293;17;1310;266;256;292;259;290;315;176;143;118;95;251;243;262;282;342;301;323;334;291;281;244;212;243;229;231;186;149;185;157;150;92;115;85;123;67;89;37;69;13;41;293;389;185;42;12;261;40;24;7;0;1;56;419;743;176;571;243;49;196;289;0;536;142;89;31;50;31;12;35;39;0;23;3;8.3;5.7;11.4;7.8;4.1;5.6;7.4;10;23.3;2289;1657;1208;1072;707;0.26862;0.504762;0.054457;0.134066
3294;Pfäfers;3294;17;334;57;55;72;75;90;65;35;33;24;22;42;44;48;47;67;68;72;70;87;71;52;45;57;48;37;43;35;36;37;46;32;36;26;22;13;20;5;13;2;5;48;65;55;17;3;55;10;7;2;0;0;12;175;81;19;21;153;1;2;537;0;50;66;25;9;6;17;1;2;9;0;9;2.7;3.2;2.1;3.5;9;1;1;59.7;10;5.6;478;346;155;155;145;0.226501;0.541336;0.055493;0.14949
3295;Quarten;3295;17;421;83;77;97;88;98;100;73;49;48;32;99;72;106;83;94;109;100;102;111;103;100;70;99;99;74;70;49;60;58;60;39;53;32;60;22;39;16;19;1;5;92;122;61;18;1;83;23;8;4;0;0;23;180;202;123;37;187;7;19;42;0;57;70;34;24;14;25;2;7;13;0;11;2.6;5.9;5.1;2.6;7.5;3.5;2.7;3.2;10;5.2;823;554;399;338;245;0.281316;0.502449;0.057383;0.104969
3296;Sargans;3296;17;1766;132;134;122;134;141;142;97;88;65;59;142;145;163;144;176;177;194;202;209;188;160;181;163;161;139;147;116;118;109;113;75;101;65;98;43;47;14;35;5;21;186;195;87;8;3;171;35;15;2;2;0;52;79;1081;390;313;147;57;206;422;0;288;27;56;39;27;20;12;52;41;0;28;2.9;19.3;10;11.6;7.4;4.8;4;10.3;10;10.3;1411;1076;783;722;545;0.22555;0.49166;0.071645;0.164898
3297;Vilters-Wangs;3297;17;0;116;117;149;146;149;145;92;82;61;55;117;104;120;117;165;173;179;165;144;143;152;131;126;140;117;115;83;83;51;67;50;61;29;44;19;33;9;28;5;9;124;212;86;16;2;135;18;18;5;0;1;38;142;444;146;53;91;14;166;79;0;89;60;54;24;11;16;5;16;10;0;10;2.4;8.2;6.1;4.8;5.7;2.8;10.4;7.9;10;8.9;1175;868;728;641;360;0.245704;0.514631;0.051092;0.160706
3298;Walenstadt;3298;17;850;138;116;154;171;162;169;99;85;66;56;122;127;144;130;161;201;197;188;171;165;151;155;147;142;118;138;95;113;78;92;68;103;48;96;32;46;24;46;4;14;177;217;91;21;7;134;24;22;3;2;0;36;150;373;95;163;109;21;92;583;0;188;52;56;27;33;21;3;37;32;0;18;2.9;6.7;3.5;4.9;5.2;7;2.5;18.2;10;10.4;1286;1015;540;542;452;0.227235;0.485927;0.068295;0.18005
3311;Amden;3311;17;215;39;49;65;52;55;47;31;27;21;18;58;36;37;39;57;59;79;68;40;53;53;43;46;44;54;43;24;51;43;59;37;38;21;34;18;20;13;13;2;7;50;63;31;8;1;37;13;5;2;1;0;6;185;37;43;27;84;10;28;79;0;33;70;13;10;9;18;4;13;12;0;5;2.6;2.8;4.3;3;4.7;2.5;2.2;6.6;10;6.6;449;334;209;196;178;0.23641;0.475348;0.073325;0.182048
3312;Benken (SG);3312;17;304;63;81;89;85;100;103;62;51;41;34;66;65;58;55;87;89;99;92;81;97;80;67;80;65;57;38;41;37;31;47;30;38;18;34;13;21;7;13;2;11;93;95;66;14;9;71;18;8;3;0;0;12;250;418;76;32;50;14;14;62;0;50;97;33;17;11;8;3;8;12;0;10;2.6;12.7;4.5;2.9;6.3;4.7;1.8;5.2;10;5;678;479;365;317;184;0.297418;0.480855;0.039181;0.153161
3313;Kaltbrunn;3313;17;855;140;114;159;129;163;172;86;85;58;56;110;103;117;112;159;128;156;179;178;132;112;108;124;93;95;81;65;61;54;64;31;41;39;53;23;50;13;36;4;11;119;186;98;27;11;118;22;16;3;1;0;21;212;588;128;56;53;21;84;56;0;127;87;52;29;18;14;4;29;11;0;9;2.4;11.3;4.4;3.1;3.8;5.3;2.9;5.1;10;14.1;1122;775;614;520;300;0.289847;0.464492;0.060494;0.143083
3314;Rieden;3341;17;82;29;23;25;31;24;20;15;13;10;8;15;19;13;17;30;25;34;30;28;20;19;20;20;14;20;21;31;26;11;20;10;15;13;12;6;12;1;6;1;0;29;32;19;5;0;21;1;2;1;0;0;1;42;27;4;0;4;0;7;32;0;12;19;8;2;0;2;0;5;2;0;3;2.2;3.4;2;6;2;18;1.4;16;10;4;204;141;134;110;84;0.206522;0.491848;0.046196;0.222826
3315;Schänis;3315;17;643;101;91;170;141;154;142;85;84;57;56;111;97;107;94;122;138;148;176;122;134;138;113;103;92;92;88;90;73;62;61;58;60;34;61;22;33;18;23;4;18;117;198;79;28;3;97;22;17;7;0;1;25;295;402;144;130;39;15;24;130;0;63;114;40;20;17;11;5;15;12;0;16;2.6;10.1;7.2;7.6;3.5;3;1.6;10.8;10;3.9;1051;793;589;538;310;0.29415;0.483324;0.051941;0.13778
3316;Weesen;3316;17;246;38;37;46;46;38;45;16;15;10;10;36;34;47;44;45;71;59;58;46;44;53;42;38;55;47;48;33;43;31;39;39;41;24;38;6;18;7;12;2;21;38;60;21;3;2;35;8;5;3;0;0;9;41;103;49;19;64;4;19;99;0;37;19;13;8;7;9;1;8;13;0;9;2.2;7.9;6.1;2.7;7.1;4;2.4;7.6;10;4.1;378;319;221;223;176;0.196636;0.455369;0.072445;0.249677
3331;Ernetschwil;3341;17;178;43;53;69;57;60;45;25;22;17;14;48;30;30;34;47;58;70;71;52;45;45;33;33;34;43;28;20;29;31;22;18;19;14;13;5;3;4;2;0;3;44;64;32;18;2;34;4;7;1;0;0;6;130;53;33;30;47;2;12;5;0;23;50;15;8;10;7;1;8;3;0;4;2.6;3.5;4.1;3;6.7;2;1.5;1.7;10;5.8;392;281;264;224;125;0.244048;0.514881;0.041667;0.172619
3332;Eschenbach (SG);3342;17;1042;180;158;205;196;202;216;128;80;85;53;180;151;150;133;171;213;234;226;237;181;179;166;151;141;138;125;114;101;106;98;64;73;41;68;33;43;22;21;6;14;191;260;127;36;9;161;22;17;3;0;0;37;178;1131;157;108;57;23;148;114;0;215;76;70;37;18;13;6;30;18;0;21;2.3;16.2;4.2;6;4.4;3.8;4.9;6.3;10;10.2;1576;1067;893;738;464;0.242481;0.51015;0.044737;0.165789
3333;Goldingen;3342;17;133;30;33;38;51;39;48;26;18;17;12;44;19;28;25;39;33;44;41;44;37;31;40;46;27;30;19;25;22;19;25;20;12;13;14;9;11;4;6;2;4;31;38;35;10;3;36;9;1;0;0;0;5;191;104;7;5;30;6;15;0;0;24;72;15;3;2;9;1;7;0;0;3;2.7;6.9;2.3;2.5;3.3;6;2.1;10;10;8;355;213;191;144;91;0.318267;0.474576;0.045198;0.135593
3334;Gommiswald;3341;17;521;75;81;120;100;118;86;49;43;33;29;72;75;70;74;106;91;117;130;114;97;87;97;84;64;70;76;54;59;63;70;46;47;30;40;12;32;5;12;2;4;87;112;64;14;12;71;18;14;1;0;0;14;93;334;46;46;50;12;62;59;0;86;38;33;16;10;10;2;28;15;0;8;2.4;10.1;2.9;4.6;5;6;2.2;3.9;10;10.8;754;568;464;416;306;0.221583;0.514388;0.053957;0.179137
3335;Jona;3340;17;2202;451;415;515;503;576;565;291;304;194;203;541;511;565;596;673;630;750;735;654;681;598;632;650;671;569;600;445;439;321;344;235;257;151;255;97;140;30;96;7;57;665;798;227;35;6;542;119;89;15;5;1;166;81;1833;727;744;427;221;1055;732;0;627;31;117;73;116;37;24;163;98;0;38;2.6;15.7;10;6.4;11.5;9.3;6.5;7.5;10;16.6;5250;4121;3337;3088;2152;0.173425;0.478511;0.078168;0.235919
3336;Rapperswil (SG);3340;17;3060;187;172;146;161;152;181;118;109;78;73;325;257;350;306;370;322;311;268;254;240;210;245;220;219;214;215;180;198;147;220;145;225;113;185;68;104;29;52;13;39;262;245;69;11;5;187;63;31;11;1;0;51;79;1808;717;733;421;218;1041;723;0;619;30;115;72;115;37;23;161;96;0;37;2.6;15.7;10;6.4;11.5;9.3;6.5;7.5;10;16.6;2340;1674;1367;1180;968;0.195536;0.428433;0.097768;0.231441
3337;St. Gallenkappel;3342;17;245;61;51;78;65;87;75;37;37;25;25;46;38;50;59;59;67;78;70;72;70;53;50;59;41;45;43;34;26;35;32;15;27;18;18;15;18;12;15;2;11;53;82;54;15;4;47;7;4;2;1;0;7;190;102;31;13;46;10;20;35;0;33;81;23;13;5;10;1;12;6;0;5;2.3;4.4;2.4;2.6;4.6;10;1.7;5.8;10;6.6;506;369;295;260;161;0.257991;0.495434;0.049087;0.156393
3338;Schmerikon;3338;17;442;89;89;95;92;119;91;65;61;43;41;121;119;112;119;123;110;140;121;121;121;109;108;112;114;112;97;78;72;55;57;43;50;26;58;17;28;12;22;2;18;124;149;44;15;5;138;20;11;2;1;1;21;38;440;230;101;83;27;163;56;0;200;17;46;23;20;12;5;29;12;0;12;2.2;9.6;10;5.1;6.9;5.4;5.6;4.7;10;16.7;1017;748;629;551;333;0.266968;0.466063;0.070136;0.153846
3339;Uznach;3339;17;846;193;171;189;202;205;185;113;102;76;68;172;174;156;162;190;204;207;215;206;212;221;176;164;156;138;124;100;115;108;114;87;112;61;98;44;44;19;46;12;28;229;293;95;29;5;153;26;16;3;0;0;38;46;1334;183;367;99;165;441;631;0;159;20;73;34;63;19;8;51;47;0;20;2.3;18.3;5.4;5.8;5.2;20.6;8.6;13.4;10;8;1555;1180;675;649;531;0.253188;0.44663;0.061931;0.164663
3351;Alt St. Johann;3359;17;282;39;32;48;40;56;58;43;40;28;27;59;36;42;41;56;48;43;49;51;46;54;51;38;45;44;29;32;31;34;26;26;37;24;38;16;19;11;9;2;5;41;56;19;16;4;53;9;5;3;2;0;10;172;158;84;41;154;12;10;42;0;27;72;29;17;13;21;4;6;9;0;8;2.4;5.4;4.9;3.2;7.3;3;1.7;4.7;10;3.4;451;315;132;131;132;0.272857;0.482857;0.064286;0.144286
3352;Ebnat-Kappel;3352;17;850;147;127;158;152;175;200;107;121;72;81;156;151;139;133;148;132;164;193;175;175;174;173;156;151;149;151;121;110;103;119;87;134;76;116;62;93;23;68;14;21;148;204;127;27;2;150;38;18;7;1;0;25;222;863;103;117;106;58;135;220;0;115;106;61;21;24;24;7;30;40;0;20;2.1;14.1;4.9;4.9;4.4;8.3;4.5;5.5;10;5.8;1379;1076;537;542;562;0.265248;0.49079;0.068359;0.133852
3354;Krummenau;3360;17;294;45;52;68;60;75;61;76;32;50;22;37;28;34;36;56;46;62;77;71;68;53;44;40;37;41;48;38;49;46;47;34;30;28;29;16;11;5;3;6;3;41;60;38;17;5;37;7;6;1;1;0;7;201;128;69;44;43;10;38;225;0;49;86;26;11;11;8;2;11;13;0;8;2.3;4.9;6.4;4.1;5.1;4.2;3.5;17;10;5.8;479;315;178;158;174;0.314143;0.454318;0.050063;0.141427
3355;Nesslau;3360;17;469;51;64;74;99;89;87;40;41;26;28;51;43;41;42;54;59;75;76;86;69;56;55;56;42;56;58;47;46;29;39;51;52;50;49;22;34;10;37;7;10;47;72;55;23;10;55;8;14;0;0;0;11;208;133;72;46;44;11;39;234;0;50;90;27;11;11;9;3;11;14;0;9;2.3;4.9;6.4;4.1;5.1;4.2;3.5;17;10;5.8;525;386;225;212;197;0.301415;0.449402;0.066376;0.155604
3356;Stein (SG);3360;17;58;15;11;16;19;12;21;8;6;5;4;9;6;15;8;13;16;13;10;12;11;10;15;25;8;14;15;15;7;10;6;3;7;1;10;5;8;1;5;1;2;15;12;10;7;1;11;2;0;0;0;1;2;85;23;4;20;6;0;5;11;0;9;33;7;2;5;2;0;2;3;0;2;2.6;3.3;2;4;3;18;2.5;3.7;10;4.5;119;67;42;33;39;0.318841;0.507246;0.05314;0.120773
3357;Wildhaus;3359;17;130;36;31;37;36;49;40;34;35;23;23;37;31;33;38;41;41;44;44;47;52;42;38;38;42;36;34;30;33;26;39;28;25;20;29;12;10;4;14;4;4;39;53;23;9;2;24;7;4;4;0;0;12;151;111;32;52;223;1;11;45;0;33;58;19;6;13;19;1;5;10;0;6;2.6;5.8;5.3;4;11.7;1;2.2;4.5;10;5.5;368;292;89;105;126;0.252366;0.449527;0.097792;0.18612
3371;Brunnadern;3378;17;167;30;15;46;38;47;53;18;22;12;15;24;29;20;22;31;35;34;38;36;40;21;26;27;24;22;13;16;17;12;10;11;14;17;21;8;18;9;13;6;7;24;36;23;11;4;24;3;3;4;0;0;7;49;55;13;41;17;0;5;69;0;30;24;11;3;5;6;0;2;4;0;4;2;5;4.3;8.2;2.8;18;2.5;17.3;10;7.5;237;203;131;136;74;0.248815;0.49763;0.066351;0.135071
3372;Hemberg;3372;17;168;33;22;53;38;56;45;24;28;16;18;25;17;23;25;23;20;31;37;31;37;36;32;34;21;18;22;16;18;18;18;22;18;19;18;7;11;3;5;2;4;27;28;24;16;5;19;8;5;1;1;0;3;166;47;24;19;31;0;8;31;0;20;73;11;7;6;9;0;6;2;0;2;2.3;4.3;3.4;3.2;3.4;18;1.3;15.5;10;10;246;191;94;96;76;0.273585;0.5;0.066038;0.146226
3373;Krinau;3379;17;50;12;2;7;14;16;12;2;8;2;6;8;8;10;4;6;7;10;14;6;10;12;10;5;7;10;6;7;8;6;6;5;6;8;8;3;4;0;3;0;0;8;6;8;4;1;7;1;1;2;0;0;3;58;4;14;3;6;0;2;4;0;13;24;2;2;2;3;0;1;2;0;2;2.4;2;7;1.5;2;18;2;2;10;6.5;72;65;32;36;32;0.371212;0.356061;0.068182;0.181818
3374;Lichtensteig;3374;17;397;40;37;60;51;56;67;40;35;26;23;60;64;81;63;84;82;90;72;70;73;65;53;60;46;59;49;41;58;43;34;26;46;27;41;15;30;4;13;1;8;81;73;28;5;1;48;15;8;4;0;0;9;17;369;38;65;36;16;50;53;0;65;7;34;12;18;12;5;22;13;0;12;2.4;10.9;3.2;3.6;3;3.2;2.3;4.1;10;5.4;618;436;381;322;214;0.223709;0.48566;0.061185;0.183556
3375;Oberhelfenschwil;3375;17;170;50;55;74;74;66;75;31;28;20;19;42;31;31;32;53;51;50;65;67;56;53;35;35;35;29;24;36;27;24;18;26;30;20;24;16;21;7;15;4;7;33;66;30;18;8;32;5;5;5;2;1;7;112;117;83;22;16;4;16;74;0;25;61;17;8;5;6;1;5;9;0;3;1.8;6.9;10.4;4.4;2.7;4;3.2;8.2;10;8.3;370;250;186;157;136;0.270588;0.436765;0.077941;0.169118
3376;St. Peterzell;3378;17;106;41;38;64;57;58;60;29;29;20;19;36;24;25;22;48;58;49;52;54;54;50;43;41;32;24;24;36;18;15;22;16;24;15;21;7;14;6;6;0;5;33;60;34;19;2;26;13;4;3;0;0;4;123;106;40;11;55;8;18;106;0;34;55;22;12;4;11;2;6;10;0;3;2.2;4.8;3.3;2.8;5;4;3;10.6;10;11.3;354;245;198;167;104;0.230525;0.488076;0.062003;0.176471
3377;Wattwil;3379;17;3457;255;216;302;283;295;296;177;161;118;108;272;265;230;234;274;298;316;321;270;308;272;237;284;257;231;243;175;216;164;211;136;160;126;172;60;131;48;83;12;48;272;365;168;38;15;263;52;30;14;3;0;56;391;1351;221;522;164;63;306;665;0;575;170;100;41;74;34;10;62;69;0;37;2.3;13.5;5.4;7.1;4.8;6.3;4.9;9.6;10;15.5;2320;1821;791;828;859;0.257019;0.445644;0.069354;0.163907
3391;Bütschwil;3395;17;750;110;115;123;134;149;152;97;85;65;57;113;93;103;102;114;118;147;144;125;122;126;81;104;88;73;76;74;77;68;73;58;71;46;70;30;60;18;48;9;32;109;159;91;35;8;115;13;13;5;1;0;24;190;489;169;94;66;39;69;141;0;96;90;52;23;27;19;4;20;16;0;16;2.1;9.4;7.3;3.5;3.5;9.8;3.5;8.8;10;6;1001;697;498;432;307;0.274194;0.473118;0.057348;0.132616
3392;Kirchberg (SG);3392;17;1392;252;260;342;294;344;309;183;166;122;111;231;231;218;221;289;316;353;328;325;306;289;250;231;210;185;166;129;149;133;166;123;143;88;129;54;101;31;64;12;50;286;410;182;60;16;231;50;21;6;5;0;47;506;1835;463;215;127;68;272;318;0;312;199;116;57;38;32;8;41;40;0;34;2.5;15.8;8.1;5.7;4;8.5;6.6;8;10;9.2;2242;1654;916;871;703;0.26053;0.487768;0.060025;0.135435
3393;Lütisburg;3393;17;276;41;52;68;64;100;58;40;29;26;20;40;38;33;36;57;45;64;73;56;62;46;38;41;23;27;32;22;23;25;17;23;23;15;19;7;4;2;2;0;4;42;65;36;14;5;40;11;2;2;1;0;6;151;166;50;26;30;1;15;6;0;28;65;30;13;5;7;1;9;3;0;4;2.3;5.5;3.8;5.2;4.3;1;1.7;2;10;7;401;286;224;195;124;0.247788;0.533923;0.045723;0.146018
3394;Mosnang;3394;17;541;110;102;133;130;147;142;82;73;55;49;68;58;96;76;109;113;115;113;104;108;100;63;84;54;57;63;61;47;56;72;43;46;30;43;21;28;14;16;5;8;84;130;86;49;14;82;10;4;3;4;0;14;475;234;47;49;63;13;26;33;0;88;184;43;14;14;14;4;11;9;0;10;2.6;5.4;3.4;3.5;4.5;3.3;2.4;3.7;10;8.8;832;556;376;321;211;0.267792;0.525312;0.04989;0.132062
3401;Degersheim;3401;17;715;114;104;150;147;172;154;96;90;64;60;95;106;114;113;129;122;153;149;139;162;141;143;142;128;121;88;88;76;72;90;43;60;44;77;44;68;17;40;10;27;118;187;88;29;6;111;23;23;3;3;0;17;157;797;150;123;65;28;54;188;0;89;56;59;18;30;17;5;19;28;0;15;2.8;13.5;8.3;4.1;3.8;5.6;2.8;6.7;10;5.9;1148;857;507;479;378;0.229582;0.464143;0.074203;0.188745
3402;Flawil;3402;17;1696;303;281;337;295;330;321;184;175;122;116;311;269;318;311;371;355;396;392;352;313;312;302;311;299;268;249;202;226;180;182;109;156;113;170;72;135;36;90;17;39;334;447;183;43;8;311;63;37;14;1;1;71;126;1618;338;362;105;76;221;512;0;300;49;109;55;65;28;9;59;62;0;30;2.6;14.8;6.1;5.6;3.8;8.4;3.7;8.3;10;10;2753;2017;1344;1224;961;0.246182;0.461013;0.068127;0.161174
3403;Ganterschwil;3395;17;197;33;31;56;55;63;42;29;29;20;19;36;26;25;27;28;33;57;54;46;40;46;40;27;31;27;18;13;14;14;20;15;22;13;29;9;9;1;10;2;2;35;58;28;12;3;30;7;6;1;0;0;4;100;76;52;12;2;1;8;111;0;14;40;19;7;4;1;1;4;6;0;3;2.5;4;7.4;3;2;1;2;18.5;10;4.7;322;234;182;161;95;0.203422;0.547529;0.053232;0.152091
3405;Jonschwil;3405;17;409;108;111;124;119;136;133;83;77;56;51;89;82;108;90;121;128;147;138;120;146;125;108;104;94;106;81;55;52;42;32;18;25;18;33;11;22;12;17;4;8;111;168;71;27;3;106;28;16;8;0;2;22;124;508;214;82;38;7;39;72;0;111;53;51;27;11;9;3;15;12;0;10;2.3;10;7.9;7.5;4.2;2.3;2.6;6;10;11.1;977;703;639;545;265;0.199652;0.566454;0.052234;0.156703
3406;Mogelsberg;3378;17;638;78;58;98;93;107;115;61;64;41;42;55;62;39;46;56;75;85;89;92;98;82;60;90;71;65;48;33;36;46;32;39;41;35;44;15;25;8;17;8;12;64;82;61;27;13;52;11;10;8;1;0;13;263;282;41;22;118;0;17;88;0;79;119;49;12;11;18;0;11;12;0;10;2.2;5.8;3.4;2;6.6;18;1.5;7.3;10;7.9;627;482;300;287;208;0.277256;0.490602;0.053571;0.149436
3407;Oberuzwil;3407;17;861;186;170;203;171;224;229;115;107;76;72;152;146;135;136;216;205;227;218;215;218;190;189;186;144;181;160;124;126;109;111;83;123;64;87;42;77;30;49;7;18;185;278;110;30;15;161;33;19;3;0;0;36;175;488;117;107;69;27;138;241;0;120;68;57;25;23;18;6;38;34;0;18;2.6;8.6;4.7;4.7;3.8;4.5;3.6;7.1;10;6.7;1578;1142;1065;907;597;0.189481;0.500871;0.068966;0.211425
3408;Uzwil;3408;17;3618;372;356;407;423;426;429;268;232;179;154;404;375;351;353;416;480;486;488;500;445;442;367;374;393;360;313;280;281;209;232;175;209;130;205;90;136;60;106;23;48;407;579;250;63;17;370;64;52;12;1;1;84;130;4434;369;396;175;69;217;571;0;334;51;95;52;54;33;9;51;61;0;32;2.5;46.7;7.1;7.3;5.3;7.7;4.3;9.4;10;10.4;3508;2561;1695;1541;1299;0.243008;0.482067;0.059093;0.174277
3421;Bronschhofen;3427;17;492;146;140;143;143;156;139;82;78;54;52;163;158;162;158;193;191;188;185;167;151;154;151;157;149;127;142;97;92;66;62;53;53;28;47;18;15;12;18;1;6;169;210;75;17;8;141;29;13;4;0;0;50;188;838;219;47;44;5;69;40;0;154;62;50;35;14;11;2;32;17;0;5;3;16.8;6.3;3.4;4;2.5;2.2;2.4;10;30.8;1392;1055;954;846;490;0.195943;0.532657;0.060041;0.180122
3422;Niederbüren;3422;17;205;66;66;80;43;77;64;34;23;23;15;48;29;41;33;62;68;64;59;62;68;55;28;34;28;30;33;22;22;15;21;12;17;18;21;11;5;4;11;0;2;50;65;50;15;7;51;2;2;3;2;0;4;209;408;29;23;22;4;17;29;0;28;79;23;11;4;4;2;7;4;0;4;2.6;17.7;2.6;5.8;5.5;2;2.4;7.3;10;7;443;292;241;197;102;0.215797;0.565585;0.049365;0.155148
3423;Niederhelfenschwil;3423;17;649;112;105;129;129;123;114;58;44;38;29;79;51;65;84;109;113;135;122;109;98;88;62;70;60;62;60;37;40;47;41;36;46;26;30;12;21;4;7;2;2;82;124;92;32;6;93;10;7;1;1;0;5;251;246;36;34;29;12;31;23;0;65;92;53;15;10;5;1;12;11;0;5;2.7;4.6;2.4;3.4;5.8;12;2.6;2.1;10;13;763;525;435;364;225;0.188593;0.559696;0.041825;0.196958
3424;Oberbüren;3424;17;540;158;126;156;163;134;157;97;84;65;56;152;109;123;122;183;199;185;177;137;136;136;131;146;114;103;92;73;75;63;54;28;50;43;57;18;18;4;14;4;4;147;192;100;27;7;125;17;12;3;1;0;21;227;730;246;436;26;15;109;102;0;97;99;82;46;24;10;5;22;16;0;9;2.3;8.9;5.3;18.2;2.6;3;5;6.4;10;10.8;1220;860;750;634;376;0.199437;0.576725;0.048334;0.151572
3425;Wil (SG);3427;17;3602;402;400;442;395;451;425;291;285;194;190;493;537;632;624;684;612;701;632;611;596;534;573;566;521;462;473;404;463;322;432;302;407;219;340;159;276;73;170;25;74;557;619;209;49;10;445;141;69;15;2;1;144;82;1800;1607;1394;548;354;1123;2178;0;597;15;152;112;193;69;28;249;194;0;65;5.5;11.8;14.3;7.2;7.9;12.6;4.5;11.2;10;9.2;4866;3702;2418;2269;1985;0.208957;0.449714;0.069542;0.221391
3426;Zuzwil (SG);3426;17;499;155;138;140;159;151;159;92;66;62;44;96;104;97;100;137;170;190;187;161;183;147;132;151;119;110;107;72;54;44;46;38;37;25;33;14;31;14;19;4;10;140;238;89;18;2;120;31;21;5;0;0;20;90;495;194;79;120;15;201;76;0;63;31;72;38;16;12;6;42;21;0;17;2.9;6.9;5.1;4.9;10;2.5;4.8;3.6;10;3.7;1160;859;751;658;377;0.156427;0.551985;0.057656;0.218336
3441;Andwil (SG);3441;17;0;45;58;69;65;61;54;34;29;22;20;41;39;48;44;59;69;77;83;61;43;39;47;46;48;46;38;30;33;29;40;22;22;26;23;10;18;6;10;0;3;51;74;39;13;3;48;5;8;3;0;0;9;116;469;18;24;15;6;24;11;0;50;40;33;6;7;3;1;8;6;0;4;2.9;14.2;3;3.4;5;6;3;1.8;10;12.5;454;346;297;268;171;0.155556;0.551852;0.071605;0.202469
3442;Gaiserwald;3442;17;1132;211;187;244;239;322;275;187;155;124;104;201;201;205;216;308;263;277;317;323;321;289;303;279;312;243;226;168;176;161;138;81;100;70;111;41;55;17;31;6;8;249;395;141;34;7;265;53;35;9;0;1;53;135;474;248;310;176;33;200;217;0;121;50;82;35;36;17;12;84;37;0;13;2.7;5.8;7.1;8.6;10.4;2.8;2.4;5.9;10;9.3;2282;1755;1594;1428;869;0.156923;0.510059;0.069822;0.240473
